,BHs_ID,BHs_mass(Msol),Distance_cnt(kpc),Halo_ID,Iden_num
0,43553276,26867.51988152528,122.47767629675798,0,0
1,43554759,26825.41770797657,190.28001310909517,0,21
2,43554563,26849.235669295074,123.16730866918373,0,20
3,43553894,26863.82737625021,121.11109981771469,0,18
4,43553818,26816.920738431498,192.10285151204775,0,16
5,43553792,26870.0503395624,191.18930285037803,0,13
6,43553737,26852.663708647022,191.66867891907947,0,12
7,43553564,26869.902078363073,31.529115345190803,0,10
8,43554298,26936.888091041652,39.28927914885652,0,19
9,43553295,26819.473235295543,132.57326610198226,0,7
10,43553293,26825.307513841934,30.683623348275756,0,6
11,43553291,26821.83138977669,127.24404549001504,0,5
12,43553297,17775.407843540444,22.676742318888657,0,8
13,43553282,26924.175694964437,74.95804374456034,0,3
14,43553280,26873.61862599479,109.30775265080712,0,2
15,43553278,26924.329966752925,122.67454458757047,0,1
16,43553723,26861.212769964826,0.7659581474377603,1,11
17,43553817,26835.944253128604,2.4896225857879584,1,15
18,43553288,26985.684057386894,1.4861424098237104,2,4
19,43563354,26706.708572030948,0.055628373335344004,3,39
20,43562617,27069.900425662643,0.038178474953781155,3,34
21,43562659,26960.31536406464,0.054893228544500274,3,35
22,43562712,27096.781783923947,0.07516588338470537,3,36
23,43562840,26781.744767126904,0.06283319667836583,3,37
24,43563315,26780.99945407084,0.052727907014868465,3,38
25,43562583,26996.292747257477,0.04992772800613359,3,33
26,43553479,26861.885955950947,1.1841415639917825,4,9
27,43553883,26860.944296982267,0.759465666930074,5,17
28,43555247,26800.09309230817,2.7674825406904344,5,24
29,43562038,26791.76642278935,0.39460703342994463,11,27
30,43562250,26903.09455524427,0.04873563576615052,11,29
31,43562251,26857.484201154788,0.06389751406861405,11,30
32,43562321,26728.583109520474,0.35527389836535284,11,31
33,43562401,26720.40069414154,0.11063787011217417,11,32
34,43553811,26934.457809490563,1.31949914782673,11,14
35,43562034,27278.73634255978,0.08390372515988348,11,26
36,43555254,26904.096320104574,0.44870841022451996,13,25
37,43562057,26883.18748394038,0.1273147948041966,14,28
38,43555194,26925.039216274017,1.5184393682834343,14,23
39,43555189,26940.837048120957,0.6049555857282698,15,22
