Data = [Halo-ID, BH-ID, Time, redshift, BH-mass(Msol), Dist-from-cnt(kpc), Stellar-mass(Msol), Gas-mass(Msol), Virial-mass(Msol)]  
0, 43553276, 0.43872791486134816, 10.994017220851681, 26867.51988152528, 122.47767629675798, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43554759, 0.43872791486134816, 10.994017220851681, 26825.41770797657, 190.28001310909517, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43554563, 0.43872791486134816, 10.994017220851681, 26849.235669295074, 123.16730866918373, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553894, 0.43872791486134816, 10.994017220851681, 26863.82737625021, 121.11109981771469, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553818, 0.43872791486134816, 10.994017220851681, 26816.920738431498, 192.10285151204775, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553792, 0.43872791486134816, 10.994017220851681, 26870.0503395624, 191.18930285037803, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553737, 0.43872791486134816, 10.994017220851681, 26852.663708647022, 191.66867891907947, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553564, 0.43872791486134816, 10.994017220851681, 26869.902078363073, 31.529115345190803, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43554298, 0.43872791486134816, 10.994017220851681, 26936.888091041652, 39.28927914885652, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553295, 0.43872791486134816, 10.994017220851681, 26819.473235295543, 132.57326610198226, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553293, 0.43872791486134816, 10.994017220851681, 26825.307513841934, 30.68362334827576, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553291, 0.43872791486134816, 10.994017220851681, 26821.83138977669, 127.24404549001504, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553297, 0.43872791486134816, 10.994017220851681, 17775.407843540444, 22.67674231888866, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553282, 0.43872791486134816, 10.994017220851681, 26924.175694964437, 74.95804374456037, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553280, 0.43872791486134816, 10.994017220851681, 26873.61862599479, 109.3077526508071, 420716.56986125954, 248036007609.8168, 4434995086023564.5
0, 43553278, 0.43872791486134816, 10.994017220851681, 26924.329966752925, 122.67454458757041, 420716.56986125954, 248036007609.8168, 4434995086023564.5
1, 43553723, 0.43872791486134816, 10.994017220851681, 26861.212769964826, 0.7659581474377675, 12903365.594462913, 248502181.09047198, 2302847356.1486645
1, 43553817, 0.43872791486134816, 10.994017220851681, 26835.944253128604, 2.4896225857389336, 12903365.594462913, 248502181.09047198, 2302847356.1486645
2, 43553288, 0.43872791486134816, 10.994017220851681, 26985.684057386894, 1.4861424098236862, 20949230.49745276, 116490229.4131906, 1784626650.4431102
3, 43563354, 0.43872791486134816, 10.994017220851681, 26706.708572030948, 0.055628373587454226, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43562617, 0.43872791486134816, 10.994017220851681, 27069.900425662643, 0.03817847505108173, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43562659, 0.43872791486134816, 10.994017220851681, 26960.31536406464, 0.05489322876299646, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43562712, 0.43872791486134816, 10.994017220851681, 27096.781783923947, 0.07516588338470612, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43562840, 0.43872791486134816, 10.994017220851681, 26781.744767126904, 0.06283319699778611, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43563315, 0.43872791486134816, 10.994017220851681, 26780.99945407084, 0.052727907014854046, 269171.5758079439, 217128816.03495294, 1443872275.8152487
3, 43562583, 0.43872791486134816, 10.994017220851681, 26996.292747257477, 0.04992772824691379, 269171.5758079439, 217128816.03495294, 1443872275.8152487
4, 43553479, 0.43872791486134816, 10.994017220851681, 26861.885955950947, 1.1841415639917952, 5885020.334789814, 87171218.38254441, 1031745237.9250103
5, 43553883, 0.43872791486134816, 10.994017220851681, 26860.944296982267, 0.759465666930103, 15287837.917095482, 83753327.6414217, 964904394.6247375
5, 43555247, 0.43872791486134816, 10.994017220851681, 26800.09309230817, 2.767482540690432, 15287837.917095482, 83753327.6414217, 964904394.6247375
11, 43562038, 0.43872791486134816, 10.994017220851681, 26791.76642278935, 0.3946070334299539, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43562250, 0.43872791486134816, 10.994017220851681, 26903.09455524427, 0.04873563576619804, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43562251, 0.43872791486134816, 10.994017220851681, 26857.484201154788, 0.06389751406861917, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43562321, 0.43872791486134816, 10.994017220851681, 26728.583109520474, 0.3552738983653751, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43562401, 0.43872791486134816, 10.994017220851681, 26720.40069414154, 0.11063787018204327, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43553811, 0.43872791486134816, 10.994017220851681, 26934.457809490563, 1.3194991479415186, 965147.3413478836, 103175792.83048002, 671628082.2196373
11, 43562034, 0.43872791486134816, 10.994017220851681, 27278.73634255978, 0.08390372511394718, 965147.3413478836, 103175792.83048002, 671628082.2196373
13, 43555254, 0.43872791486134816, 10.994017220851681, 26904.096320104574, 0.4487084101074007, 2227418.8945898553, 77638805.00020117, 586540479.776174
14, 43562057, 0.43872791486134816, 10.994017220851681, 26883.18748394038, 0.12731479480421667, 2403271.494593625, 74593084.2589688, 557025211.6654096
14, 43555194, 0.43872791486134816, 10.994017220851681, 26925.039216274017, 1.5184393682834672, 2403271.494593625, 74593084.2589688, 557025211.6654096
15, 43555189, 0.43872791486134816, 10.994017220851681, 26940.837048120957, 0.6049555858985313, 1368518.8645548823, 57128532.86009805, 425470074.33879286
